Жанр,NA,EU,JP,Other
Platform,445.5,200.35,130.83,51.09
Racing,359.35,236.51,56.71,76.1
Role-Playing,330.81,188.71,355.46,59.63
Puzzle,122.87,50.01,57.31,12.38
Misc,407.27,212.74,108.11,74.39
Shooter,592.24,317.34,38.76,104.11
Simulation,182.19,113.52,63.8,30.75
Action,879.01,519.13,161.44,184.6
Fighting,223.36,100.33,87.48,36.36
Adventure,105.26,63.54,52.3,16.49
Strategy,68.55,45.17,49.66,10.85
Жанр,Кол-во игр,Год - прибыль
NES,98,1985 - 53.44,1984 - 50.09,1988 - 45.01,1986 - 36.41,1990 - 15.74,1987 - 19.76,1989 - 7.85,1983 - 10.96,1993 - 3.61,1991 - 6.11,1992 - 1.98,1994 - 0.11
GB,98,1996 - 36.02,1989 - 64.98,1999 - 38.01,1998 - 26.9,1992 - 25.48,2000 - 19.76,1994 - 12.17,1990 - 4.89,1995 - 3.6,2001 - 9.24,1991 - 5.57,1997 - 6.37,1988 - 1.43,N/A - 1.03
DS,2152,2006 - 119.92,2005 - 130.22,2010 - 84.98,2009 - 119.46,2004 - 17.27,2007 - 147.26,2012 - 11.06,2008 - 145.45,2011 - 26.26,N/A - 3.37,2013 - 1.54,2020 - 0.29,1985 - 0.02
X360,1262,2010 - 170.08,2013 - 88.58,2011 - 143.94,2012 - 99.65,2009 - 120.28,2007 - 95.43,2008 - 135.25,2006 - 51.66,2014 - 34.78,N/A - 10.24,2005 - 8.27,2015 - 11.95,2016 - 1.52
PS3,1331,2013 - 113.17,2012 - 107.27,2011 - 156.79,2010 - 142.38,2009 - 130.89,2008 - 118.48,2007 - 73.14,2014 - 47.63,2006 - 20.95,2015 - 16.87,N/A - 8.28,2016 - 3.58
PS2,2161,2004 - 211.78,2002 - 205.4,2001 - 166.43,2003 - 184.29,2006 - 103.42,N/A - 22.18,2007 - 76.0,2005 - 160.65,2000 - 39.11,2008 - 53.83,2009 - 26.45,2010 - 5.63,2011 - 0.47
SNES,239,1990 - 26.16,1993 - 40.01,1994 - 35.08,1992 - 32.98,1995 - 32.21,1991 - 16.21,1996 - 15.93,1997 - 0.99,1999 - 0.26,1998 - 0.22
GBA,822,2002 - 74.38,2004 - 78.09,2001 - 61.62,2003 - 56.73,N/A - 4.94,2005 - 33.9,2007 - 3.43,2006 - 5.35,2000 - 0.06
PS4,393,2015 - 118.96,2014 - 99.97,2016 - 69.29,2013 - 25.97,2017 - 0.04
3DS,520,2013 - 56.64,2011 - 63.17,2014 - 43.8,2012 - 51.36,2016 - 15.14,2015 - 27.81,N/A - 1.17
