Company,Year - count
Walt Disney Studios Motion Pictures,2015 - 6,2019 - 9,2012 - 4,2017 - 5,2016 - 4,2006 - 3,1994 - 2,2010 - 4,2013 - 7,2003 - 5,2014 - 5,2007 - 3,1999 - 4,2009 - 6,2005 - 3,2001 - 4,2004 - 3,2011 - 4,2002 - 5,2008 - 5,1991 - 1,1992 - 1,2018 - 4,1998 - 4,1990 - 2,1987 - 1,1988 - 1,2000 - 5,1996 - 2,1997 - 3,1995 - 1
Twentieth Century Fox,2009 - 5,1999 - 2,1977 - 1,2005 - 5,2016 - 7,2018 - 2,2002 - 3,1983 - 1,1996 - 2,1980 - 1,1990 - 2,2006 - 4,2014 - 12,2000 - 4,2015 - 8,2017 - 7,1993 - 1,2007 - 4,2003 - 4,2013 - 4,2004 - 3,2001 - 2,2011 - 4,1998 - 1,2012 - 4,2008 - 2,1994 - 2,2019 - 2,2010 - 4,1991 - 1,1995 - 1,1988 - 1,1979 - 1
Paramount Pictures,1997 - 2,1994 - 2,2008 - 3,2010 - 6,2009 - 5,1981 - 1,2014 - 4,2005 - 2,2013 - 6,2018 - 3,1990 - 2,2000 - 2,2011 - 6,1989 - 1,2015 - 3,1978 - 1,1996 - 1,1984 - 1,2016 - 3,1999 - 6,2020 - 1,1972 - 1,2006 - 3,2001 - 3,2017 - 2,1992 - 2,2002 - 1,2004 - 3,1991 - 2,1983 - 1,2003 - 2,1998 - 1,2019 - 1,2012 - 1,1979 - 1,2007 - 1
Universal Pictures,2015 - 10,1982 - 1,2018 - 6,1993 - 2,2016 - 3,2013 - 5,2004 - 4,2017 - 6,1975 - 1,2000 - 4,2010 - 3,2003 - 6,1997 - 1,2007 - 5,2012 - 6,2005 - 2,1985 - 1,2011 - 4,2001 - 5,2019 - 7,1999 - 3,2009 - 4,2014 - 6,2008 - 4,1998 - 1,1994 - 1,1996 - 1,2002 - 4,1989 - 1,2006 - 2,1988 - 1,2021 - 1,1990 - 2,1995 - 1
Warner Bros.,2008 - 8,2012 - 6,2017 - 7,2014 - 7,2019 - 6,2016 - 8,2001 - 3,2009 - 6,2010 - 8,2007 - 4,2013 - 7,2005 - 3,2003 - 5,2002 - 3,2011 - 4,1989 - 1,2004 - 6,1996 - 2,2018 - 9,2006 - 3,1995 - 1,2000 - 3,1999 - 5,1991 - 1,1992 - 2,2015 - 4,1978 - 1,1998 - 2,1981 - 1,1997 - 2,1994 - 2,2020 - 1
DreamWorks Distribution,2004 - 4,2001 - 1,1998 - 3,2000 - 3,2002 - 3,1999 - 2
Lionsgate,2013 - 2,2012 - 3,2014 - 2,2015 - 2,2019 - 2,2016 - 1,2004 - 1,2010 - 1,2005 - 1,2017 - 1
Sony Pictures Entertainment (SPE),2002 - 4,2017 - 3,2019 - 4,2004 - 3,2007 - 3,2012 - 6,1997 - 4,2008 - 6,2006 - 6,2018 - 5,2020 - 1,2015 - 2,2014 - 4,2005 - 2,2010 - 6,2009 - 6,1999 - 2,1996 - 1,2013 - 5,2011 - 7,2003 - 4,1998 - 3,2016 - 5,2000 - 2,1990 - 1,1992 - 1,1995 - 1
DreamWorks,2009 - 2,2011 - 3,2007 - 5,2010 - 3,2012 - 2,2008 - 4
New Line Cinema,2003 - 4,2002 - 3,2001 - 2,2005 - 2,1999 - 1,1998 - 1,2007 - 1,1990 - 1,1994 - 2,1995 - 1,2004 - 1
Newmarket Films,2004 - 1
Summit Entertainment,2010 - 2,2009 - 1,2011 - 1,2008 - 1
Columbia Pictures,1984 - 1,1982 - 1,1992 - 2,1991 - 1,1993 - 1
IFC Films,2002 - 1
TriStar Pictures,1991 - 2,1993 - 2,1992 - 1,2009 - 1,2017 - 1,2013 - 1,2014 - 1
Orion Pictures,1990 - 1,1986 - 1,1991 - 1
Metro-Goldwyn-Mayer (MGM),1988 - 1,2001 - 2,2002 - 1,1999 - 1,2018 - 1,2003 - 1
Miramax,2002 - 1,2000 - 1,2001 - 2,1994 - 1,2004 - 1,1998 - 1,2003 - 1
The Weinstein Company,2012 - 2,2010 - 1,2009 - 1,2013 - 1
Fox Searchlight Pictures,2007 - 1,2008 - 1,2010 - 1
Revolution Studios,2002 - 2,2006 - 1,2003 - 2,2001 - 2,2005 - 1
Artisan Entertainment,1999 - 1
Sony Pictures Classics,2000 - 1
Screen Gems,2012 - 2,2016 - 1
STX Entertainment,2016 - 1,2019 - 2
Dimension Films,2003 - 2,1996 - 1,1997 - 1,2006 - 1,2000 - 1,2002 - 1
United Artists Releasing,2019 - 1
FilmDistrict,2013 - 2
Focus Features,2019 - 1,2005 - 1
Relativity Media,2011 - 1
Roadside Attractions,2018 - 1
United Artists,2008 - 1
Genre,Domestic Sales,International Sales,World Sales
Action,Star Wars: Episode VII - The Force Awakens (2015),Star Wars: Episode VII - The Force Awakens (2015),Furious 7 (2015)
Adventure,Star Wars: Episode VII - The Force Awakens (2015),Star Wars: Episode VII - The Force Awakens (2015),Avengers: Infinity War (2018)
Sci-Fi,Star Wars: Episode VII - The Force Awakens (2015),Star Wars: Episode VII - The Force Awakens (2015),Avengers: Infinity War (2018)
Drama,Avengers: Endgame (2019),Avengers: Endgame (2019),Avengers: Endgame (2019)
Fantasy,Avatar (2009),Avatar (2009),Avatar (2009)
Romance,Titanic (1997),Titanic (1997),Titanic (1997)
Animation,Incredibles 2 (2018),Incredibles 2 (2018),Ice Age: Continental Drift (2012)
Comedy,Incredibles 2 (2018),Incredibles 2 (2018),Ice Age: Continental Drift (2012)
Family,Incredibles 2 (2018),Incredibles 2 (2018),Ice Age: Continental Drift (2012)
Musical,The Lion King (2019),The Lion King (2019),The Lion King (2019)
Crime,The Dark Knight (2008),The Dark Knight (2008),F9: The Fast Saga (2021)
Thriller,The Dark Knight (2008),The Dark Knight (2008),No Time to Die (2021)
War,Wonder Woman (2017),Wonder Woman (2017),Wonder Woman (2017)
Mystery,Harry Potter and the Deathly Hallows: Part 2 (2011),Harry Potter and the Deathly Hallows: Part 2 (2011),Harry Potter and the Deathly Hallows: Part 2 (2011)
Biography,American Sniper (2014),American Sniper (2014),Green Book (2018)
Horror,It (2017),It (2017),The Meg (2018)
Sport,The Blind Side (2009),The Blind Side (2009),Turbo (2013)
Music,Alvin and the Chipmunks: The Squeakquel (2009),Alvin and the Chipmunks: The Squeakquel (2009),Green Book (2018)
History,Pearl Harbor (2001),Pearl Harbor (2001),Troy (2004)
Western,Dances with Wolves (1990),Dances with Wolves (1990),Django Unchained (2012)
Documentary,Fahrenheit 9/11 (2004),Fahrenheit 9/11 (2004),Fahrenheit 9/11 (2004)
